tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_ucode
Srg,WGO_JG,102,C,26/08/2021,WS00117
Srg,WGO_JG,103,C,26/08/2021,WS00118
Srg,WGO_JG,103,P,26/08/2021,WS00119
Srg,WGO_JG,103,D,26/08/2021,WS00120
Srg,WGO_JG,104,D,26/08/2021,WS00121
Srg,WGO_JG,104,C,26/08/2021,WS00122
Srg,WGO_JG,104,P,26/08/2021,WS00123
Srg,WGO_JG,105,P,26/08/2021,WS00124
Srg,WGO_JG,105,C,26/08/2021,WS00125
Srg,WGO_JG,105,D,26/08/2021,WS00126
Srg,WGO_JG,106,P,26/08/2021,WS00127
Srg,WGO_JG,106,C,26/08/2021,WS00128
Srg,WGO_JG,201,D,26/08/2021,WS00129
Srg,WGO_JG,201,C,26/08/2021,WS00130
Srg,WGO_JG,201,P,26/08/2021,WS00131
Srg,WGO_JG,202,P,26/08/2021,WS00132
Srg,WGO_JG,202,C,26/08/2021,WS00133
Srg,WGO_JG,202,D,26/08/2021,WS00134
Srg,WGO_JG,203,C,26/08/2021,WS00135
Srg,WGO_JG,203,P,26/08/2021,WS00136
Srg,WGO_JG,203,D,26/08/2021,WS00137
Srg,WGO_JG,204,C,26/08/2021,WS00138
Srg,WGO_JG,204,D,26/08/2021,WS00139
Srg,WGO_JG,204,P,26/08/2021,WS00140
Srg,WGO_JG,205,P,26/08/2021,WS00141
Srg,WGO_JG,205,C,26/08/2021,WS00142
Srg,WGO_JG,205,D,26/08/2021,WS00143
Srg,WGO_JG,206,D,26/08/2021,WS00144
Srg,WGO_JG,206,C,26/08/2021,WS00145
Srg,WGO_JG,206,P,26/08/2021,WS00146
Srg,WGO_JG,206,D,26/08/2021,WS00147
Srg,WGO_JG,301,C,26/08/2021,WS00148
Srg,WGO_JG,301,D,26/08/2021,WS00149
Srg,WGO_JG,301,P,26/08/2021,WS00150
Srg,WGO_JG,302,C,26/08/2021,WS00151
Srg,WGO_JG,302,P,26/08/2021,WS00152
Srg,WGO_JG,302,D,26/08/2021,WS00153
Srg,WGO_JG,303,C,26/08/2021,WS00154
Srg,WGO_JG,303,P,26/08/2021,WS00155
Srg,WGO_JG,303,D,26/08/2021,WS00156
Srg,WGO_JG,304,C,26/08/2021,WS00157
Srg,WGO_JG,304,P,26/08/2021,WS00158
Srg,WGO_JG,304,D,26/08/2021,WS00159
Srg,WGO_JG,305,C,26/08/2021,WS00160
Srg,WGO_JG,305,D,26/08/2021,WS00161
Srg,WGO_JG,305,P,26/08/2021,WS00162
Srg,WGO_JG,306,D,26/08/2021,WS00163
Srg,WGO_JG,306,C,26/08/2021,WS00164
Srg,WGO_JG,306,P,26/08/2021,WS00165
Srg,WGO_JG,401,D,26/08/2021,WS00166
Srg,WGO_JG,401,P,26/08/2021,WS00167
Srg,WGO_JG,401,C,26/08/2021,WS00168
Srg,WGO_JG,402,C,26/08/2021,WS00169
Srg,WGO_JG,402,D,26/08/2021,WS00170
Srg,WGO_JG,402,P,26/08/2021,WS00171
Srg,WGO_JG,403,C,26/08/2021,WS00172
Srg,WGO_JG,403,D,26/08/2021,WS00173
Srg,WGO_JG,403,P,26/08/2021,WS00174
Srg,WGO_JG,404,P,26/08/2021,WS00175
Srg,WGO_JG,404,D,26/08/2021,WS00176
Srg,WGO_JG,404,C,26/08/2021,WS00177
Srg,WGO_JG,405,D,26/08/2021,WS00178
Srg,WGO_JG,405,P,26/08/2021,WS00179
Srg,WGO_JG,405,C,26/08/2021,WS00180
Srg,WGO_JG,406,C,26/08/2021,WS00181
Srg,WGO_JG,406,P,26/08/2021,WS00182
Srg,WGO_JG,406,D,26/08/2021,WS00183
Srg,WGO_JG,101,P,01/09/2021,WS00184
Srg,WGO_JG,101,D,01/09/2021,WS00185
Srg,WGO_JG,101,C,01/09/2021,WS00186
Srg,WGO_JG,102,C,01/09/2021,WS00187
Srg,WGO_JG,102,D,01/09/2021,WS00188
Srg,WGO_JG,102,P,01/09/2021,WS00189
Srg,WGO_JG,103,P,01/09/2021,WS00190
Srg,WGO_JG,103,D,01/09/2021,WS00191
Srg,WGO_JG,103,C,01/09/2021,WS00192
Srg,WGO_JG,104,P,01/09/2021,WS00193
Srg,WGO_JG,104,C,01/09/2021,WS00194
Srg,WGO_JG,104,D,01/09/2021,WS00195
Srg,WGO_JG,105,P,01/09/2021,WS00196
Srg,WGO_JG,105,D,01/09/2021,WS00197
Srg,WGO_JG,105,C,01/09/2021,WS00198
Srg,WGO_JG,106,C,01/09/2021,WS00199
Srg,WGO_JG,106,P,01/09/2021,WS00200
Srg,WGO_JG,106,D,01/09/2021,WS00201
Srg,WGO_JG,201,C,01/09/2021,WS00202
Srg,WGO_JG,201,P,01/09/2021,WS00203
Srg,WGO_JG,201,D,01/09/2021,WS00204
Srg,WGO_JG,201,P,01/09/2021,WS00205
Srg,WGO_JG,202,D,01/09/2021,WS00206
Srg,WGO_JG,202,P,01/09/2021,WS00207
Srg,WGO_JG,202,C,01/09/2021,WS00208
Srg,WGO_JG,203,P,01/09/2021,WS00209
Srg,WGO_JG,203,D,01/09/2021,WS00210
Srg,WGO_JG,203,C,01/09/2021,WS00211
Srg,WGO_JG,204,D,01/09/2021,WS00212
Srg,WGO_JG,204,P,01/09/2021,WS00213
Srg,WGO_JG,204,C,01/09/2021,WS00214
Srg,WGO_JG,205,D,01/09/2021,WS00215
Srg,WGO_JG,205,C,01/09/2021,WS00216
Srg,WGO_JG,205,P,01/09/2021,WS00217
Srg,WGO_JG,206,D,01/09/2021,WS00218
Srg,WGO_JG,206,C,01/09/2021,WS00219
Srg,WGO_JG,206,P,01/09/2021,WS00220
Srg,WGO_JG,301,P,01/09/2021,WS00221
Srg,WGO_JG,301,C,01/09/2021,WS00222
Srg,WGO_JG,301,D,01/09/2021,WS00223
Srg,WGO_JG,302,D,01/09/2021,WS00224
Srg,WGO_JG,302,C,01/09/2021,WS00225
Srg,WGO_JG,302,P,01/09/2021,WS00226
Srg,WGO_JG,303,C,01/09/2021,WS00227
Srg,WGO_JG,303,P,01/09/2021,WS00228
Srg,WGO_JG,303,D,01/09/2021,WS00229
Srg,WGO_JG,304,C,01/09/2021,WS00230
