tissue_info1,tissue_info2,tissue_info3,tissue_info4,tissue_info5,tissue_info6,tissue_ucode
Srg,WGO_JG,406, ,23/08/2021,C,WS00109
Srg,WGO_JG,406, ,23/08/2021,D,WS00110
Srg,WGO_JG,406, ,23/08/2021,P,WS00111
Srg,WGO_JG,101, ,26/08/2021,P,WS00112
Srg,WGO_JG,101, ,26/08/2021,C,WS00113
Srg,WGO_JG,101, ,26/08/2021,D,WS00114
Srg,WGO_JG,102, ,26/08/2021,P,WS00115
Srg,WGO_JG,102, ,26/08/2021,D,WS00116
Srg,WGO_JG,102, ,26/08/2021,C,WS00117
Srg,WGO_JG,103, ,26/08/2021,C,WS00118
Srg,WGO_JG,103, ,26/08/2021,P,WS00119
Srg,WGO_JG,103, ,26/08/2021,D,WS00120
Srg,WGO_JG,104, ,26/08/2021,D,WS00121
Srg,WGO_JG,104, ,26/08/2021,C,WS00122
Srg,WGO_JG,104, ,26/08/2021,P,WS00123
Srg,WGO_JG,105, ,26/08/2021,P,WS00124
Srg,WGO_JG,105, ,26/08/2021,C,WS00125
Srg,WGO_JG,105, ,26/08/2021,D,WS00126
Srg,WGO_JG,106, ,26/08/2021,P,WS00127
Srg,WGO_JG,106, ,26/08/2021,C,WS00128
Srg,WGO_JG,201, ,26/08/2021,D,WS00129
Srg,WGO_JG,201, ,26/08/2021,C,WS00130
Srg,WGO_JG,201, ,26/08/2021,P,WS00131
Srg,WGO_JG,202, ,26/08/2021,P,WS00132
Srg,WGO_JG,202, ,26/08/2021,C,WS00133
Srg,WGO_JG,202, ,26/08/2021,D,WS00134
Srg,WGO_JG,203, ,26/08/2021,C,WS00135
Srg,WGO_JG,203, ,26/08/2021,P,WS00136
Srg,WGO_JG,203, ,26/08/2021,D,WS00137
Srg,WGO_JG,204, ,26/08/2021,C,WS00138
Srg,WGO_JG,204, ,26/08/2021,D,WS00139
Srg,WGO_JG,204, ,26/08/2021,P,WS00140
Srg,WGO_JG,205, ,26/08/2021,P,WS00141
Srg,WGO_JG,205, ,26/08/2021,C,WS00142
Srg,WGO_JG,205, ,26/08/2021,D,WS00143
Srg,WGO_JG,206, ,26/08/2021,D,WS00144
Srg,WGO_JG,206, ,26/08/2021,C,WS00145
Srg,WGO_JG,206, ,26/08/2021,P,WS00146
Srg,WGO_JG,206, ,26/08/2021,D,WS00147
Srg,WGO_JG,301, ,26/08/2021,C,WS00148
Srg,WGO_JG,301, ,26/08/2021,D,WS00149
Srg,WGO_JG,301, ,26/08/2021,P,WS00150
Srg,WGO_JG,302, ,26/08/2021,C,WS00151
Srg,WGO_JG,302, ,26/08/2021,P,WS00152
Srg,WGO_JG,302, ,26/08/2021,D,WS00153
Srg,WGO_JG,303, ,26/08/2021,C,WS00154
Srg,WGO_JG,303, ,26/08/2021,P,WS00155
Srg,WGO_JG,303, ,26/08/2021,D,WS00156
Srg,WGO_JG,304, ,26/08/2021,C,WS00157
Srg,WGO_JG,304, ,26/08/2021,P,WS00158
Srg,WGO_JG,304, ,26/08/2021,D,WS00159
Srg,WGO_JG,305, ,26/08/2021,C,WS00160
Srg,WGO_JG,305, ,26/08/2021,D,WS00161
Srg,WGO_JG,305, ,26/08/2021,P,WS00162
Srg,WGO_JG,306, ,26/08/2021,D,WS00163
Srg,WGO_JG,306, ,26/08/2021,C,WS00164
Srg,WGO_JG,306, ,26/08/2021,P,WS00165
Srg,WGO_JG,401, ,26/08/2021,D,WS00166
Srg,WGO_JG,401, ,26/08/2021,P,WS00167
Srg,WGO_JG,401, ,26/08/2021,C,WS00168
Srg,WGO_JG,402, ,26/08/2021,C,WS00169
Srg,WGO_JG,402, ,26/08/2021,D,WS00170
Srg,WGO_JG,402, ,26/08/2021,P,WS00171
Srg,WGO_JG,403, ,26/08/2021,C,WS00172
Srg,WGO_JG,403, ,26/08/2021,D,WS00173
Srg,WGO_JG,403, ,26/08/2021,P,WS00174
Srg,WGO_JG,404, ,26/08/2021,P,WS00175
Srg,WGO_JG,404, ,26/08/2021,D,WS00176
Srg,WGO_JG,404, ,26/08/2021,C,WS00177
Srg,WGO_JG,405, ,26/08/2021,D,WS00178
Srg,WGO_JG,405, ,26/08/2021,P,WS00179
Srg,WGO_JG,405, ,26/08/2021,C,WS00180
Srg,WGO_JG,406, ,26/08/2021,C,WS00181
Srg,WGO_JG,406, ,26/08/2021,P,WS00182
Srg,WGO_JG,406, ,26/08/2021,D,WS00183
Srg,WGO_JG,101, ,1/9/2021,P,WS00184
Srg,WGO_JG,101, ,1/9/2021,D,WS00185
Srg,WGO_JG,101, ,1/9/2021,C,WS00186
Srg,WGO_JG,102, ,1/9/2021,C,WS00187
Srg,WGO_JG,102, ,1/9/2021,D,WS00188
Srg,WGO_JG,102, ,1/9/2021,P,WS00189
Srg,WGO_JG,103, ,1/9/2021,P,WS00190
Srg,WGO_JG,103, ,1/9/2021,D,WS00191
Srg,WGO_JG,103, ,1/9/2021,C,WS00192
Srg,WGO_JG,104, ,1/9/2021,P,WS00193
Srg,WGO_JG,104, ,1/9/2021,C,WS00194
Srg,WGO_JG,104, ,1/9/2021,D,WS00195
Srg,WGO_JG,105, ,1/9/2021,P,WS00196
Srg,WGO_JG,105, ,1/9/2021,D,WS00197
Srg,WGO_JG,105, ,1/9/2021,C,WS00198
Srg,WGO_JG,106, ,1/9/2021,C,WS00199
Srg,WGO_JG,106, ,1/9/2021,P,WS00200
Srg,WGO_JG,106, ,1/9/2021,D,WS00201
Srg,WGO_JG,201, ,1/9/2021,C,WS00202
Srg,WGO_JG,201, ,1/9/2021,P,WS00203
Srg,WGO_JG,201, ,1/9/2021,D,WS00204
Srg,WGO_JG,201, ,1/9/2021,P,WS00205
Srg,WGO_JG,202, ,1/9/2021,D,WS00206
Srg,WGO_JG,202, ,1/9/2021,P,WS00207
Srg,WGO_JG,202, ,1/9/2021,C,WS00208
Srg,WGO_JG,203, ,1/9/2021,P,WS00209
Srg,WGO_JG,203, ,1/9/2021,D,WS00210
Srg,WGO_JG,203, ,1/9/2021,C,WS00211
Srg,WGO_JG,204, ,1/9/2021,D,WS00212
Srg,WGO_JG,204, ,1/9/2021,P,WS00213
Srg,WGO_JG,204, ,1/9/2021,C,WS00214
Srg,WGO_JG,205, ,1/9/2021,D,WS00215
Srg,WGO_JG,205, ,1/9/2021,C,WS00216
Srg,WGO_JG,205, ,1/9/2021,P,WS00217
Srg,WGO_JG,206, ,1/9/2021,D,WS00218
Srg,WGO_JG,206, ,1/9/2021,C,WS00219
Srg,WGO_JG,206, ,1/9/2021,P,WS00220
Srg,WGO_JG,301, ,1/9/2021,P,WS00221
Srg,WGO_JG,301, ,1/9/2021,C,WS00222
Srg,WGO_JG,301, ,1/9/2021,D,WS00223
Srg,WGO_JG,302, ,1/9/2021,D,WS00224
Srg,WGO_JG,302, ,1/9/2021,C,WS00225
Srg,WGO_JG,302, ,1/9/2021,P,WS00226
Srg,WGO_JG,303, ,1/9/2021,C,WS00227
Srg,WGO_JG,303, ,1/9/2021,P,WS00228
Srg,WGO_JG,303, ,1/9/2021,D,WS00229
Srg,WGO_JG,304, ,1/9/2021,C,WS00230
Srg,WGO_JG,304, ,1/9/2021,D,WS00231
Srg,WGO_JG,305, ,1/9/2021,P,WS00232
Srg,WGO_JG,305, ,1/9/2021,C,WS00233
Srg,WGO_JG,305, ,1/9/2021,D,WS00234
Srg,WGO_JG,306, ,1/9/2021,D,WS00235
Srg,WGO_JG,306, ,1/9/2021,C,WS00236
Srg,WGO_JG,306, ,1/9/2021,P,WS00237
Srg,WGO_JG,401, ,1/9/2021,P,WS00238
Srg,WGO_JG,401, ,1/9/2021,D,WS00239
Srg,WGO_JG,401, ,1/9/2021,C,WS00240
Srg,WGO_JG,402, ,1/9/2021,D,WS00241
Srg,WGO_JG,402, ,1/9/2021,P,WS00242
Srg,WGO_JG,402, ,1/9/2021,C,WS00243
Srg,WGO_JG,403, ,1/9/2021,P,WS00244
Srg,WGO_JG,403, ,1/9/2021,D,WS00245
Srg,WGO_JG,403, ,1/9/2021,C,WS00246
Srg,WGO_JG,404, ,1/9/2021,D,WS00247
Srg,WGO_JG,404, ,1/9/2021,C,WS00248
Srg,WGO_JG,404, ,1/9/2021,P,WS00249
Srg,WGO_JG,405, ,1/9/2021,D,WS00250
Srg,WGO_JG,405, ,1/9/2021,P,WS00251
Srg,WGO_JG,405, ,1/9/2021,C,WS00252
Srg,WGO_JG,406, ,1/9/2021,P,WS00253
Srg,WGO_JG,406, ,1/9/2021,D,WS00254
Srg,WGO_JG,406, ,1/9/2021,C,WS00255
Srg,WGO_JG,101, ,8/9/2021,P,WS00256
Srg,WGO_JG,101, ,8/9/2021,D,WS00257
Srg,WGO_JG,101, ,8/9/2021,C,WS00258
Srg,WGO_JG,102, ,8/9/2021,P,WS00259
Srg,WGO_JG,102, ,8/9/2021,D,WS00260
Srg,WGO_JG,102, ,8/9/2021,C,WS00261
Srg,WGO_JG,103, ,8/9/2021,C,WS00262
Srg,WGO_JG,103, ,8/9/2021,D,WS00263
Srg,WGO_JG,103, ,8/9/2021,P,WS00264
Srg,WGO_JG,104, ,8/9/2021,P,WS00265
Srg,WGO_JG,104, ,8/9/2021,C,WS00266
Srg,WGO_JG,104, ,8/9/2021,D,WS00267
Srg,WGO_JG,105, ,8/9/2021,P,WS00268
Srg,WGO_JG,105, ,8/9/2021,C,WS00269
Srg,WGO_JG,105, ,8/9/2021,D,WS00270
